name,profile_url,rating,reviews_count,location,country,website_url,min_project,hourly_rate,employees,team_size,tagline,services,source,email,contact_form_url,category,sub_category
OnHires,https://clutch.co/profile/onhires,5.0,94.0,"Sheridan, WY",United States,https://onhires.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-recruiting,,$25 - $49 / hr,50 - 249,,,"19.4/20 Reviews, 10/10 Clients & Experience, 8.9/10 Market Presence, 50% Recruiting, 50% Other",Clutch.co,hello@onhires.com,,"Business Services,IT Services","HR Services,Recruiting,Staffing,IT Staff Augmentation"
Techunting,https://clutch.co/profile/techunting-0,5.0,43.0,"Davie, FL",United States,https://techunting.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-recruiting,,$25 - $49 / hr,250 - 999,,,"18.6/20 Reviews, 10/10 Clients & Experience, 9.2/10 Market Presence, 30% Recruiting, 70% Other",Clutch.co,businessdevus@techunting.net,,"Business Services,IT Services","HR Services,Recruiting,IT Staff Augmentation"
Gini Talent,https://clutch.co/profile/gini-talent,5.0,38.0,"Istanbul, Türkiye",Türkiye,https://ginitalent.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-recruiting,,$50 - $99 / hr,"1,000 - 9,999",,,"16.6/20 Reviews, 9.3/10 Clients & Experience, 10/10 Market Presence, 15% Recruiting, 85% Other",Clutch.co,tr@ginitalent.com,,"Business Services,IT Services","Accounting,HR Services,Recruiting,IT Staff Augmentation"
ExplainVisually,https://clutch.co/profile/explainvisually,5.0,33.0,"Warszawa, Poland",Poland,https://explainvisually.co/en/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$50 - $99 / hr,10 - 49,,,"40% Video Production, 10% Business Consulting, 10% Content Marketing+4 services, 10% Demand Generation Marketing, 10% Graphic Design, 10% Marketing Strategy, 10% Video Marketing",Clutch.co,hello@explainvisually.co,,"Business Services,Design,Marketing","Consulting,Small Business Consulting,Design Agencies,Content Marketing,Digital Marketing,Full-Service Digital"
BellaVix,https://clutch.co/profile/bellavix,5.0,32.0,"Cary, NC",United States,http://www.bellavix.com/?utm_source=clutch.co&utm_medium=referral,,$150 - $199 / hr,2 - 9,,,"10% Business Consulting, 50% Pay Per Click, 20% Digital Strategy+1 service, 20% Search Engine Optimization",Clutch.co,hello@bellavix.com,,"Business Services,Marketing","Boutique Consulting,Consulting,Digital Marketing,PPC"
GoodCore Software,https://clutch.co/profile/goodcore-software,5.0,31.0,"London, England",England,http://www.goodcore.co.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=clutchprofile,,$25 - $49 / hr,50 - 249,,,"17.6/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 10% Business Consulting, 90% Other",Clutch.co,contact@goodcore.co.uk,,"Business Services,Development","Consulting,Small Business Consulting,.NET,Custom Software Development,Java,PHP"
Remote Team Solutions,https://clutch.co/profile/remote-team-solutions,5.0,22.0,"Torreón, Mexico",Mexico,https://remoteteamsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-staffing,,,250 - 999,,,"18.2/20 Reviews, 8.1/10 Clients & Experience, 9.1/10 Market Presence, 10% Staffing, 90% Other",Clutch.co,contact@remoteteamsolutions.com,,"Business Services,IT Services","HR Services,Staffing,IT Staff Augmentation"
Artiffine,https://clutch.co/profile/artiffine,5.0,20.0,"Brno, Czech Republic",Czech Republic,https://artiffine.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-blockchain,,$50 - $99 / hr,10 - 49,,,"16.4/20 Reviews, 9.9/10 Clients & Experience, 9.2/10 Market Presence, 70% Blockchain, 30% Other",Clutch.co,info@artiffine.com,,"Business Services,Development","Consulting,Small Business Consulting,Blockchain"
BALTUM,https://clutch.co/profile/baltum,5.0,16.0,,,https://baltumburoo.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=consulting-small-business,,$100 - $149 / hr,10 - 49,,,"25% Business Consulting, 50% Cybersecurity, 25% Other IT Consulting and SI",Clutch.co,info@baltumburoo.com,,"Business Services,IT Services","Consulting,Small Business Consulting,All IT Services,Cybersecurity"
Weber & Co.,https://clutch.co/profile/weber-co,5.0,16.0,"Kenai, AK",United States,https://weberco.io,,$100 - $149 / hr,2 - 9,,,"25% Web Design, 15% Search Engine Optimization, 10% Business Consulting+5 services, 10% Custom Software Development, 10% Graphic Design, 10% Pay Per Click, 10% Social Media Marketing, 10% Web Development",Clutch.co,hello@weberco.io,,"Business Services,Design,Development,Marketing","Boutique Consulting,Consulting,Small Business Consulting,Web Design,Custom Software Development,PHP,WordPress,Digital Marketing,Full-Service Digital,PPC,Social Media Marketing"
MetaCTO,https://clutch.co/profile/metacto,5.0,13.0,"Los Angeles, CA",United States,https://www.metacto.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$100 - $149 / hr,10 - 49,,,"50% Mobile App Development, 20% UX/UI Design, 10% Business Consulting+2 services, 10% Low/No Code Development, 10% Web Development",Clutch.co,hello@metacto.com,,"Business Services,Design,Development","Consulting,Small Business Consulting,Design Agencies,UI/UX Design,App Development,Flutter,Web Development"
