name,email,contact_form_url,rating,reviews_count,location,country,website_url,profile_url,services,source,category,sub_category,min_project,hourly_rate,employees,team_size,tagline,scraped_at
IT-Geeks,sales@itgeeks.com,,5.0,365.0,"Middletown, DE",United States,https://itgeeks.com/?utm_source=clutch&utm_medium=organic&utm_campaign=clutch_organic,https://clutch.co/profile/it-geeks,"20/20 Reviews, 10/10 Clients & Experience, 9.1/10 Market Presence, 60% E-Commerce Development, 40% Other",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,Web Design,App Development,E-Commerce Development,Flutter",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:03:51
Jives Media,info@jivesmedia.com,,5.0,339.0,"San Francisco, CA",United States,https://www.jivesmedia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing,https://clutch.co/profile/jives-media,"20/20 Reviews, 10/10 Clients & Experience, 9.5/10 Market Presence, 70% Digital Marketing, 30% Other",Clutch.co,Marketing,"Digital Marketing,PPC,Social Media Marketing",,$100 - $149 / hr,10 - 49,,,2026-02-21 01:31:16
Peiko,hello@peiko.space,,5.0,155.0,"Miami, FL",United States,https://peiko.space/service/blockchain-development-services?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-blockchain,https://clutch.co/profile/peiko,"20/20 Reviews, 10/10 Clients & Experience, 9.6/10 Market Presence, 80% Blockchain, 20% Other",Clutch.co,Development,"Blockchain,Web Development",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:01:46
Empat,hello@empat.tech,,5.0,142.0,"San Francisco, CA",United States,https://www.empat.tech/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-flutter&utm_term=bundle-app-development,https://clutch.co/profile/empat,"20/20 Reviews, 10/10 Clients & Experience, 10/10 Market Presence, 40% Custom Software Development33% Flutter, 33% Flutter, 10% Web Development, 50% Mobile App Development",Clutch.co,Development,"App Development,Custom Software Development,Flutter,PHP,Web Development",,$25 - $49 / hr,250 - 999,,,2026-02-21 00:59:42
DiscoverMyBusiness,info@discovermybusiness.co,,5.0,137.0,"New York, NY",United States,https://discovermybusiness.co/,https://clutch.co/profile/discovermybusiness-0,"10% Social Media Marketing, 80% Pay Per Click, 10% Search Engine Optimization",Clutch.co,Marketing,"PPC,Social Media Marketing",,$150 - $199 / hr,10 - 49,,,2026-02-21 01:33:06
Panem Agency,Unreachable,,5.0,130.0,"L'viv, Ukraine",Ukraine,https://panem.agency,https://clutch.co/profile/panem-agency,"80% Search Engine Optimization, 10% Advertising, 10% Pay Per Click",Clutch.co,Marketing,"Digital Marketing,PPC",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:34:05
Storm Brain,Unreachable,,5.0,124.0,"Carlsbad, CA",United States,https://www.stormbrain.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-designers,https://clutch.co/profile/storm-brain,"20/20 Reviews, 10/10 Clients & Experience, 9.8/10 Market Presence, 40% Web Design, 60% Other",Clutch.co,"Design,Development,Marketing","Design Agencies,Web Design,E-Commerce Development,PHP,Web Development,WordPress,Digital Marketing,Full-Service Digital,PPC",,$150 - $199 / hr,50 - 249,,,2026-02-21 01:01:46
Bop Design,dc2e6e36d78b0bbe2956cbb46ff76261@o4510698940137472.ingest.us.sentry.io,,5.0,120.0,"San Diego, CA",United States,https://www.bopdesign.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-designers,https://clutch.co/profile/bop-design,"20/20 Reviews, 10/10 Clients & Experience, 9.8/10 Market Presence, 60% Web Design, 40% Other",Clutch.co,"Design,Marketing","Design Agencies,Web Design,Content Marketing,Digital Marketing,Full-Service Digital",,$150 - $199 / hr,10 - 49,,,2026-02-21 01:29:32
WebSpero Solutions,admin@webspero.com,,5.0,119.0,"Sahibzada Ajit Singh Nagar, India",India,https://www.webspero.com/ppc-service/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ppc,https://clutch.co/profile/webspero-solutions,"15% Pay Per Click, 55% Search Engine Optimization, 20% Web Development+1 service, 10% AI Development",Clutch.co,"Development,Marketing","Java,PHP,Python & Django,Web Development,WordPress,Digital Marketing,PPC",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:01:56
Probey Services,info@probey.probeyservices.com,,5.0,116.0,"London, England",England,https://probeyservices.com/,https://clutch.co/profile/probey-services,"19.2/20 Reviews, 9.3/10 Clients & Experience, 8/10 Market Presence, 40% Web Design, 60% Other",Clutch.co,"Design,Development","Web Design,Custom Software Development,WordPress",,< $25 / hr,"1,000 - 9,999",,,2026-02-21 01:15:19
