name,profile_url,rating,reviews_count,location,country,website_url,min_project,hourly_rate,employees,team_size,tagline,services,source,email,contact_form_url,category,sub_category
Scriptics®️,https://clutch.co/profile/scriptics,5.0,13.0,"Sibiu, Romania",Romania,https://scriptics.ro,,$50 - $99 / hr,10 - 49,,,"40% Web Development, 10% Business Consulting, 10% CRM Consulting and SI+4 services, 10% Custom Software Development, 10% ERP Consulting and SI, 10% IT Strategy Consulting, 10% Low/No Code Development",Clutch.co,Unreachable,https://scriptics.ro/contact,"Business Services,Development,IT Services","Consulting,Small Business Consulting,Custom Software Development,PHP,Python & Django,Web Development,WordPress,All IT Services"
Code2day,https://clutch.co/profile/code2day,5.0,13.0,"Montréal, Canada",Canada,https://code2day.io/,,,10 - 49,,,"40% Recruiting, 35% Recruitment Process Outsourcing, 25% IT Staff Augmentation",Clutch.co,Unreachable,https://code2day.io/,"Business Services,IT Services","HR Services,Recruiting,IT Staff Augmentation"
European IT Firm,https://clutch.co/profile/european-it-firm,5.0,3.0,"Kirchseeon, Germany",Germany,https://www.eu-itf.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$100 - $149 / hr,10 - 49,,,"20% Business Consulting, 30% Corporate Training & Coaching, 30% IT Managed Services+1 service, 20% IT Strategy Consulting",Clutch.co,Unreachable,https://www.eu-itf.com/contact,"Business Services,IT Services","Consulting,Small Business Consulting,All IT Services,Managed IT (MSP)"
Webisoft,https://clutch.co/profile/webisoft,4.9,21.0,"Montreal, Canada",Canada,https://webisoft.com/blockchain-development?utm_source=clutch.co&utm_medium=referral&utm_campaign=top-blockchain-companies,,$50 - $99 / hr,10 - 49,,,"17.4/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 70% Blockchain, 30% Other",Clutch.co,Unreachable,https://webisoft.com/contact,"Business Services,Development","Consulting,Small Business Consulting,Blockchain,Custom Software Development,Python & Django,Web Development"
The Quantified Web,https://clutch.co/profile/quantified-web,4.9,21.0,"Adelaide, Australia",Australia,https://www.thequantifiedweb.com/home/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$50 - $99 / hr,2 - 9,,,"60% Pay Per Click, 30% Ecommerce Marketing, 10% Business Consulting",Clutch.co,Unreachable,https://www.thequantifiedweb.com/home/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Business Services,Marketing","Boutique Consulting,Consulting,Small Business Consulting,Digital Marketing,PPC"
Sciant (part of Sirma Group),https://clutch.co/profile/sciant-part-sirma-group,4.8,25.0,"Sofia, Bulgaria",Bulgaria,http://www.sciant.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$25 - $49 / hr,50 - 249,,,"15% Custom Software Development, 25% Logistics & Supply Chain Consulting, 10% Application Management & Support+5 services, 10% BI & Big Data Consulting & SI, 10% Business Consulting, 10% Enterprise App Modernization, 10% IT Managed Services, 10% IT Strategy Consulting",Clutch.co,Unreachable,http://www.sciant.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Business Services,Development,IT Services","Consulting,Small Business Consulting,.NET,Custom Software Development,Java,All IT Services,Managed IT (MSP)"
DevEngine,https://clutch.co/profile/devengine,4.8,12.0,"Vancouver, Canada",Canada,https://devengine.ca/lp/nearshore-staff-augmentation-latam-clutch?utm_source=clutch+lp&utm_medium=clutch+lp&utm_campaign=clutch+lp&utm_id=clutch+lp,,$50 - $99 / hr,50 - 249,,,"18/20 Reviews, 10/10 Clients & Experience, 7.2/10 Market Presence, 40% Recruiting, 60% Other",Clutch.co,Unreachable,https://devengine.ca/lp/nearshore-staff-augmentation-latam-clutch?utm_source=clutch+lp&utm_medium=clutch+lp&utm_campaign=clutch+lp&utm_id=clutch+lp,"Business Services,IT Services","HR Services,Recruiting,IT Staff Augmentation"
Serenichron,https://clutch.co/profile/serenichron,4.8,9.0,"Bragadiru, Romania",Romania,https://serenichron.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=consulting-boutique,,$50 - $99 / hr,2 - 9,,,"10% Business Consulting, 50% IT Strategy Consulting, 10% AI Development+3 services, 10% Conversion Optimization, 10% Digital Strategy, 10% Robotics Process Automation",Clutch.co,Unreachable,https://serenichron.com/contact/,"Business Services,IT Services","Boutique Consulting,Consulting,Small Business Consulting,All IT Services"
Voolkia,https://clutch.co/profile/voolkia,4.5,5.0,"Buenos Aires, Argentina",Argentina,https://www.voolkia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$50 - $99 / hr,250 - 999,,,"20% Custom Software Development, 25% IT Staff Augmentation, 25% Staffing+2 services, 15% AI Consulting, 15% AI Development",Clutch.co,Unreachable,https://www.voolkia.com/contacto,"Business Services,Development,IT Services","HR Services,Staffing,Custom Software Development,IT Staff Augmentation"
Insight Global,https://clutch.co/profile/insight-global,,,"Atlanta, GA",United States,https://insightglobal.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,,"1,000 - 9,999",,,"10% Custom Software Development, 10% AI Development, 10% BI & Big Data Consulting & SI+7 services, 10% Cloud Consulting & SI, 10% Executive Search, 10% Generative AI, 10% IT Managed Services, 10% Recruiting, 10% Recruitment Process Outsourcing, 10% Staffing",Clutch.co,Unreachable,https://insightglobal.com/services/staffing/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-recruiting,"Business Services,Development,IT Services","HR Services,Recruiting,Staffing,.NET,Custom Software Development,Flutter,Java,All IT Services,Managed IT (MSP)"
