name,profile_url,rating,reviews_count,location,country,website_url,min_project,hourly_rate,employees,team_size,tagline,services,source,email,contact_form_url,category,sub_category
EltexSoft,https://clutch.co/profile/eltexsoft,5.0,29.0,"Burbank, CA",United States,https://eltexsoft.com,,$50 - $99 / hr,10 - 49,,,"25% Web Development, 25% IT Staff Augmentation, 10% AI Development+4 services, 10% Custom Software Development, 10% Generative AI, 10% Low/No Code Development, 10% Mobile App Development",Clutch.co,Unreachable,https://eltexsoft.com,"Development,IT Services","Custom Software Development,PHP,Python & Django,Web Development,WordPress,IT Staff Augmentation"
Infracore,https://clutch.co/profile/infracore,5.0,19.0,"San Diego, CA",United States,https://infracore.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-cybersecurity,,$150 - $199 / hr,50 - 249,,,"19.4/20 Reviews, 10/10 Clients & Experience, 9.2/10 Market Presence, 30% Cybersecurity, 70% Other",Clutch.co,Unreachable,https://infracore.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-cybersecurity,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
Sketch Development,https://clutch.co/profile/sketch-development,5.0,17.0,"Webster Groves, MO",United States,https://www.sketchdev.io?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,,$150 - $199 / hr,10 - 49,,,"15% Mobile App Development, 25% Custom Software Development, 15% AI Development+5 services, 10% AI Consulting, 10% API Development, 10% Cloud Consulting & SI, 10% Generative AI, 5% AI Agents",Clutch.co,Unreachable,https://www.sketchdev.io/en-us/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Development,IT Services",".NET,App Development,Custom Software Development,Java,All IT Services"
Blackburn Labs,https://clutch.co/profile/blackburn-labs,5.0,16.0,"Providence, RI",United States,https://www.blackburnlabs.com/contact-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$100 - $149 / hr,10 - 49,,,"15% Mobile App Development, 45% Custom Software Development, 15% BI & Big Data Consulting & SI+2 services, 15% Enterprise App Modernization, 10% AR/VR Development",Clutch.co,Unreachable,https://www.blackburnlabs.com/contact-us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Development,IT Services","AR/VR,App Development,Custom Software Development,Java,All IT Services"
designDATA,https://clutch.co/profile/designdata,5.0,16.0,"Gaithersburg, MD",United States,https://go.designdata.com/pricing-calculator-f4b67770-65f5-42c0-8f58-88ea1148a61a?_gl=1*1ju1rbu*_ga*NDQ0NTMzNjA5LjE3NjczNzM1OTk.*_ga_PHF1QP7WTT*czE3NjczNzM2MTAkbzEkZzEkdDE3NjczNzM2MTgkajYwJGwwJGgw*_gcl_au*NzAxNjI3MDMyLjE3NjczNzM2MTg.?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-msp,,$100 - $149 / hr,50 - 249,,,"16.2/20 Reviews, 10/10 Clients & Experience, 9.3/10 Market Presence, 50% IT Managed Services, 50% Other",Clutch.co,Unreachable,https://go.designdata.com/pricing-calculator-f4b67770-65f5-42c0-8f58-88ea1148a61a?_gl=1*1ju1rbu*_ga*NDQ0NTMzNjA5LjE3NjczNzM1OTk.*_ga_PHF1QP7WTT*czE3NjczNzM2MTAkbzEkZzEkdDE3NjczNzM2MTgkajYwJGwwJGgw*_gcl_au*NzAxNjI3MDMyLjE3NjczNzM2MTg.?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-msp,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
Reliable Technology Services,https://clutch.co/profile/reliable-technology-services-0,5.0,14.0,"Frisco, TX",United States,http://reliabletsi.com,,$150 - $199 / hr,10 - 49,,,"25% Cybersecurity, 40% IT Managed Services, 20% IT Strategy Consulting+1 service, 15% Cloud Consulting & SI",Clutch.co,Unreachable,http://reliabletsi.com,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
Journi,https://clutch.co/profile/journi,5.0,13.0,"London, England",England,https://journi.uk?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-developers,,$50 - $99 / hr,10 - 49,,,"20% Web Development, 15% AI Development, 15% Custom Software Development+4 services, 15% Enterprise App Modernization, 15% IT Staff Augmentation, 10% AR/VR Development, 10% Low/No Code Development",Clutch.co,Unreachable,https://journi.uk/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Development,IT Services",".NET,AR/VR,Custom Software Development,Flutter,Web Development,IT Staff Augmentation"
Scriptics®️,https://clutch.co/profile/scriptics,5.0,13.0,"Sibiu, Romania",Romania,https://scriptics.ro,,$50 - $99 / hr,10 - 49,,,"40% Web Development, 10% Business Consulting, 10% CRM Consulting and SI+4 services, 10% Custom Software Development, 10% ERP Consulting and SI, 10% IT Strategy Consulting, 10% Low/No Code Development",Clutch.co,Unreachable,https://scriptics.ro/contact,"Business Services,Development,IT Services","Consulting,Small Business Consulting,Custom Software Development,PHP,Python & Django,Web Development,WordPress,All IT Services"
Advanced Networks,https://clutch.co/profile/advanced-networks,5.0,13.0,"Los Angeles, CA",United States,https://www.adv-networks.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$150 - $199 / hr,10 - 49,,,"15% Cybersecurity, 70% IT Managed Services, 15% Cloud Consulting & SI",Clutch.co,Unreachable,https://www.adv-networks.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
Code2day,https://clutch.co/profile/code2day,5.0,13.0,"Montréal, Canada",Canada,https://code2day.io/,,,10 - 49,,,"40% Recruiting, 35% Recruitment Process Outsourcing, 25% IT Staff Augmentation",Clutch.co,Unreachable,https://code2day.io/,"Business Services,IT Services","HR Services,Recruiting,IT Staff Augmentation"
ProperExpression,https://clutch.co/profile/properexpression,5.0,12.0,"McLean, VA",United States,https://www.properexpression.com/growth-marketing/b2b-marketing-agency?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing,,$150 - $199 / hr,10 - 49,,,"25% CRM Consulting and SI, 15% Advertising, 15% Content Marketing+3 services, 15% Digital Strategy, 15% Email Marketing, 15% Search Engine Optimization",Clutch.co,Unreachable,https://www.properexpression.com/growth-marketing/b2b-marketing-agency?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing,"IT Services,Marketing","All IT Services,Content Marketing,Digital Marketing,Email Marketing"
Infinity Technologies,https://clutch.co/profile/infinity-technologies,5.0,10.0,"London, England",England,https://infinitytechnologies.pro/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,,$25 - $49 / hr,50 - 249,,,"25% Web Development, 40% Custom Software Development, 20% Mobile App Development+1 service, 15% IT Staff Augmentation",Clutch.co,Unreachable,https://infinitytechnologies.pro/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Development,IT Services",".NET,Custom Software Development,Flutter,Java,Python & Django,Web Development,WordPress,IT Staff Augmentation"
Cloudforce,https://clutch.co/profile/cloudforce-0,5.0,10.0,"Oxon Hill, MD",United States,https://www.gocloudforce.com,,,50 - 249,,,"16.6/20 Reviews, 9.9/10 Clients & Experience, 8.5/10 Market Presence, 65% IT Consulting, 35% Other",Clutch.co,Unreachable,https://www.gocloudforce.com,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
CIO Technology Solutions,https://clutch.co/profile/cio-technology-solutions,5.0,10.0,"Tampa, FL",United States,https://ciotech.us,,$100 - $149 / hr,10 - 49,,,"10% IT Staff Augmentation, 45% IT Managed Services, 25% Cybersecurity+2 services, 10% Cloud Consulting & SI, 10% IT Strategy Consulting",Clutch.co,Unreachable,https://ciotech.us/contact-us/,IT Services,"All IT Services,Cybersecurity,IT Staff Augmentation,Managed IT (MSP)"
CyberHunter Solutions Inc.,https://clutch.co/profile/cyberhunter-solutions,5.0,10.0,,,https://cyberhunter.solutions/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-cybersecurity,,$150 - $199 / hr,10 - 49,,,"60% Cybersecurity, 40% IT Managed Services",Clutch.co,Unreachable,https://cyberhunter.solutions/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-cybersecurity,IT Services,"All IT Services,Cybersecurity,Managed IT (MSP)"
